"El Catálogo Nacional de Códigos Postales, es elaborado por Correos de México y se proporciona en forma gratuita para uso particular, no estando permitida su comercialización, total o parcial, ni su distribución a terceros bajo ningún concepto.",,,,,,
Código Postal,Estado,Municipio,Ciudad,Tipo de Asentamiento,Asentamiento,Clave de Oficina
25000,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Saltillo Centro,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Vista Hermosa,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,La Fuente,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Privada la Misión,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Privada la Campana,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nuevo Saltillo,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privada de San Javier,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Solidaridad,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Parajes de la Sierra,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,15 de Septiembre,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Villa Morelos,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Milenio,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,El Monte del Sinaí,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Cordillera,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,La Cascada,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Ampliación Morelos,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Amistad,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Morelos Nueva Creación,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Balcones de Morelos,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Valle de Morelos,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Zona industrial,Parque Industrial Amistad,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Privada Morelos,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Colibrí,25001
25014,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,10 de Abril,25001
25014,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,San Pedro de los Pinos,25001
25014,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Cecilia Ocelli de Salinas,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Fundadores,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,El Pedregal,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Fuentes del Pedregal,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Edgar Puente,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nueva Vida,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Villa de Santiago,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Lomas del Pedregal,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Lomas de Zapaliname,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Valle de las Aves,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Salomón Abedrop,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Lomas de San Francisco,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nueva Independencia,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nuevo Progreso,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Introductores de Ganado,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Ignacio Zaragoza,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Residencial los Rosales,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Colinas de Santiago,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Popular Loma Blanca,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Sierra Alta Residencial,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Prados de San José,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Tres Vientos,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Valle de los Almendros,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privada Villas de San José,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Nuevo Valle de los Almendros,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Ciudad Mirasierra,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Lomas del Bosque,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Puerta del Oriente,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privadas la Torre,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privada los Magueyes,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Loma Linda,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Gaspar Valdez,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Real del Sol,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Recreativo Sección 38,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Francisco I Madero Rústico,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Nuevo Mirasierra,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privadas Sierras del Oriente,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Sierra Blanca,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Misión Cerritos,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Santa Lucía,25001
25017,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Ampliación Valle de Morelos,25001
25017,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Morelos,25001
25017,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Ampliación Morelos Segundo Sector,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Conquistadores,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privada Nogal I,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,La Nogalera,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,El Cerrito,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nueva Tlaxcala,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Rubén Jaramillo,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Tierra y Libertad,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,La Morita,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nueva Imagen,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,El Ejido,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,El Nogalar,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nuevo Amanecer,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Las Candelarias,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Postal Cerritos,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,San José,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Los Lirios,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Candelarias Residencial,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Santa María,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Las Maravillas,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Villa Fundadores,25001
